0.3929,0.1,0.001,100.0
0.3917,0.1,0.01,1000.0
0.3906,0.1,0.001,50.0
0.3897,0.1,0.0001,10.0
0.389,0.01,0.01,1000.0
0.3888,0.1,0.01,500.0
0.3885,0.01,0.0001,10.0
0.3879,0.001,0.0001,10.0
0.3878,0.0001,0.0001,10.0
0.3876,0.01,0.001,100.0
0.3875,0.0001,0.01,1000.0
0.3872,0.0001,0.001,100.0
0.3859,0.01,0.01,500.0
0.3857,0.0001,0.01,500.0
0.384,0.0001,0.001,50.0
0.3839,0.001,0.001,50.0
0.3838,0.01,0.001,50.0
0.3769,0.1,0.0001,50.0
0.3757,1.0,0.001,100.0
0.3756,0.1,0.001,500.0
0.3746,0.0001,0.0001,50.0
0.3744,0.001,0.001,500.0
0.3743,0.0001,0.001,500.0
0.3742,0.001,0.01,5000.0
0.3741,0.0001,0.01,5000.0
0.3736,0.1,0.01,5000.0
0.3732,1.0,0.01,1000.0
0.371,1.0,0.0001,50.0
0.3707,1.0,0.001,50.0
0.37,1.0,0.001,500.0
0.3697,1.0,0.01,5000.0
0.3696,0.01,0.001,10.0
0.3682,1.0,0.01,500.0
0.3672,0.1,0.001,10.0
0.3654,0.001,0.001,10.0
0.3648,0.0001,0.001,10.0
0.3627,0.1,0.01,100.0
0.3619,0.001,0.01,100.0
0.3609,0.0001,0.01,100.0
0.3602,0.1,0.0001,100.0
0.3596,1.0,0.0001,100.0
0.3592,0.01,0.0001,100.0
0.3591,1.0,0.001,1000.0
0.359,0.0001,0.0001,100.0
0.3579,0.01,0.001,1000.0
0.3577,0.0001,0.001,1000.0
0.3521,0.01,0.01,50.0
0.3494,0.1,0.01,50.0
0.343,0.001,0.01,50.0
0.3416,0.0001,0.01,50.0
0.3303,1.0,0.001,10.0
0.327,1.0,0.01,100.0
0.3119,1.0,0.01,50.0
0.3036,0.0001,0.1,500.0
0.2965,0.001,0.1,1000.0
0.2958,0.0001,0.01,10.0
0.2944,0.001,0.1,500.0
0.2942,0.001,0.01,10.0
0.2939,0.001,0.1,100.0
0.2925,1.0,0.0001,500.0
0.2894,0.0001,0.1,1000.0
0.2891,0.1,0.0001,500.0
0.2884,0.1,0.001,5000.0
0.288,0.01,0.0001,500.0
0.2879,0.0001,0.0001,500.0
0.2848,0.01,0.01,10.0
0.2844,0.0001,0.1,50.0
0.282,0.0001,0.1,10.0
0.2819,0.001,0.1,50.0
0.2813,0.01,0.1,500.0
0.2701,0.1,0.1,1000.0
0.2674,0.0001,0.1,5000.0
0.2671,0.001,0.1,5000.0
0.2645,0.01,0.1,5000.0
0.264,0.01,0.1,1000.0
0.2625,0.001,0.1,10.0
0.2623,0.01,0.1,100.0
0.2582,0.1,0.01,10.0
0.2549,0.0001,0.1,100.0
0.254,0.1,0.1,500.0
0.248,0.01,0.1,50.0
0.2475,1.0,0.0001,1000.0
0.244,0.1,0.1,5000.0
0.2439,0.1,0.0001,1000.0
0.2435,0.0001,0.0001,1000.0
0.2434,0.01,0.0001,1000.0
0.2336,0.01,0.1,10.0
0.2335,0.1,0.1,100.0
0.2313,0.1,0.1,50.0
0.2154,1.0,0.01,10.0
0.2083,0.1,0.1,10.0
0.1846,1.0,0.1,5000.0
0.1758,1.0,0.1,1000.0
0.1693,1.0,0.1,500.0
0.1684,1.0,0.1,10.0
0.1586,1.0,0.0001,5000.0
0.1583,0.0001,0.0001,5000.0
0.1561,1.0,0.1,100.0
0.1316,1.0,0.1,50.0
0.1,0.0001,1.0,5000.0
